category,type,id_s,companny_name,products_href,href,last_price,actual_price
Alimentos,perro,LIQ000918,SuperPet,,,,
Accesorios y otros,gato,MD008078,SuperPet,,,,
Super Fin de Año,promociones,HC000731,SuperPet,,,,
Accesorios y otros,perro,MD006353_m,SuperPet,,,,
Accesorios y otros,perro,MD001896,SuperPet,,,,
Super Fin de Año,promociones,MD006419,SuperPet,,,,
Alimentos,gato,AG000536,SuperPet,,,,
Salud e Higiene,gato,HC000848,SuperPet,,,,
Salud e Higiene,gato,PS000458,SuperPet,,,,
Alimentos,gato,PG000088,SuperPet,,,,
Accesorios y otros,perro,MD007277_m,SuperPet,,,,
Accesorios y otros,perro,MD008493_m,SuperPet,,,,
Super Fin de Año,promociones,MD006493_m,SuperPet,,,,
Alimentos,gato,AG000140,SuperPet,,,,
Kitten 🐱,promociones,PS000652,SuperPet,,,,
Alimentos,gato,AG000797,SuperPet,,,,
Alimentos,perro,PP000283,SuperPet,,,,
Salud e higiene,perro,FF000563,SuperPet,,,,
Salud e higiene,perro,HC000722_m,SuperPet,,,,
Alimentos,perro,PP000194,SuperPet,,,,
Accesorios y otros,perro,PS000464,SuperPet,,,,
Puppy 🐶,promociones,HC000661,SuperPet,,,,
Salud e higiene,perro,HC000480,SuperPet,,,,
Salud e Higiene,gato,HC000419,SuperPet,,,,
Alimentos,gato,AG000149_m,SuperPet,,,,
Salud e higiene,perro,MD006821,SuperPet,,,,
Super Fin de Año,promociones,HC000486,SuperPet,,,,
Accesorios y otros,perro,MD006169,SuperPet,,,,
Super Fin de Año,promociones,HC000842,SuperPet,,,,
Alimentos,perro,PP000285,SuperPet,,,,
Super Fin de Año,promociones,MD006555,SuperPet,,,,
Salud e higiene,perro,HC000429,SuperPet,,,,
Super Fin de Año,promociones,MD006555,SuperPet,,,,
Accesorios y otros,perro,MD008327,SuperPet,,,,
Accesorios y otros,perro,MD007713_m,SuperPet,,,,
Accesorios y otros,gato,MD007936,SuperPet,,,,
Accesorios y otros,perro,MD006657_m,SuperPet,,,,
Accesorios y otros,perro,MD005364,SuperPet,,,,
Super Fin de Año,promociones,MD008469,SuperPet,,,,
Accesorios y otros,perro,MD006710,SuperPet,,,,
Alimentos,gato,AG000515,SuperPet,,,,
Kitten 🐱,promociones,HC000024_m,SuperPet,,,,
Alimentos,perro,AP001437,SuperPet,,,,
Salud e higiene,perro,PS000407,SuperPet,,,,
Super Fin de Año,promociones,MD005153,SuperPet,,,,
Accesorios y otros,gato,MD007103,SuperPet,,,,
Super Fin de Año,promociones,PS000522,SuperPet,,,,
Super Fin de Año,promociones,PS000755_m,SuperPet,,,,
Alimentos,perro,AP001421,SuperPet,,,,
Accesorios y otros,perro,MD006969_m,SuperPet,,,,
Salud e higiene,perro,FF000690,SuperPet,,,,
Super Fin de Año,promociones,MD007667,SuperPet,,,,
Accesorios y otros,perro,MD006502_m,SuperPet,,,,
Super Fin de Año,promociones,MD005170,SuperPet,,,,
Salud e higiene,perro,HC000734,SuperPet,,,,
Accesorios y otros,perro,MD008161_m,SuperPet,,,,
Alimentos,gato,AG000251,SuperPet,,,,
Super Fin de Año,promociones,PS000639,SuperPet,,,,
Alimentos,gato,PG000075,SuperPet,,,,
Liquidación ,promociones,MD007421,SuperPet,,,,
Super Fin de Año,promociones,AP000810,SuperPet,,,,
Alimentos,perro,AP000879,SuperPet,,,,
Salud e higiene,perro,FF000565,SuperPet,,,,
Alimentos,perro,PP000299,SuperPet,,,,
Super Fin de Año,promociones,HC000813,SuperPet,,,,
Alimentos,gato,AG000152_m,SuperPet,,,,
Alimentos,gato,AG000509,SuperPet,,,,
Accesorios y otros,perro,MD000644,SuperPet,,,,
Accesorios y otros,perro,MD007652,SuperPet,,,,
Alimentos,gato,AG000058_m,SuperPet,,,,
Novedades 🔥,promociones,MD008141_m,SuperPet,,,,
